open,high,low,close,volume,turnover,time
119429.9,119718.6,119115.4,119250.1,1445.116,172595193.1137,2025-07-28 00:00:00+00:00
119250.1,119500.0,118950.0,119044.1,1654.586,197180716.4325,2025-07-28 01:00:00+00:00
119044.1,119844.9,119017.9,119448.1,2177.799,260424635.2141,2025-07-28 02:00:00+00:00
119448.1,119542.3,119226.0,119287.6,1037.969,123890645.4707,2025-07-28 03:00:00+00:00
119287.6,119413.2,119121.5,119215.8,766.926,91453357.8805,2025-07-28 04:00:00+00:00
119215.8,119699.1,119139.5,119528.5,1277.576,152569432.4407,2025-07-28 05:00:00+00:00
119528.5,119610.0,119427.5,119455.7,898.999,107433233.7372,2025-07-28 06:00:00+00:00
119455.7,119455.8,118753.0,118885.8,3231.51,384314357.3045,2025-07-28 07:00:00+00:00
118885.8,119104.4,118767.8,119058.0,1411.3,167840879.0667,2025-07-28 08:00:00+00:00
119058.0,119058.1,118706.8,118921.4,1447.529,172080634.7712,2025-07-28 09:00:00+00:00
118921.4,118965.3,118576.5,118767.6,1496.904,177766125.4757,2025-07-28 10:00:00+00:00
118767.6,118871.7,118435.7,118810.6,1994.404,236611237.7924,2025-07-28 11:00:00+00:00
118810.6,119092.0,118777.3,118836.6,2085.108,247984705.9771,2025-07-28 12:00:00+00:00
118836.6,119084.7,118227.1,118429.5,5967.009,707555330.4744,2025-07-28 13:00:00+00:00
118429.5,118691.8,117874.0,117980.0,6681.711,789406063.2333,2025-07-28 14:00:00+00:00
117980.0,118513.7,117888.0,118160.0,3117.777,368591748.4814,2025-07-28 15:00:00+00:00
118160.0,118376.8,117987.0,118004.0,1488.86,175885432.7396,2025-07-28 16:00:00+00:00
118004.0,118116.1,117623.4,117666.0,3763.355,443415885.3611,2025-07-28 17:00:00+00:00
117666.0,117860.0,117401.5,117779.8,3628.347,426647538.745,2025-07-28 18:00:00+00:00
117779.8,118255.9,117536.7,118070.0,3448.967,406898546.6018,2025-07-28 19:00:00+00:00
118070.0,118164.2,117480.0,118045.5,2276.463,268131177.4802,2025-07-28 20:00:00+00:00
118045.5,118346.7,117942.7,118121.8,1421.487,167932737.0158,2025-07-28 21:00:00+00:00
118121.8,118278.5,117745.6,117864.1,1506.904,177844211.3698,2025-07-28 22:00:00+00:00
117864.1,118178.9,117815.2,118068.9,1010.414,119240422.9821,2025-07-28 23:00:00+00:00
118068.9,118467.8,117521.1,117976.5,3515.839,414954444.6399,2025-07-29 00:00:00+00:00
117976.5,118236.1,117761.9,117767.1,1025.589,121113985.3758,2025-07-29 01:00:00+00:00
117767.1,118095.8,117434.0,118092.4,2247.208,264649971.896,2025-07-29 02:00:00+00:00
118092.4,118820.7,118092.4,118761.9,2812.536,333175575.1183,2025-07-29 03:00:00+00:00
118761.9,118831.7,118406.2,118521.5,1692.267,200769952.1825,2025-07-29 04:00:00+00:00
118521.5,118849.9,118520.0,118802.4,1005.654,119373869.6587,2025-07-29 05:00:00+00:00
118802.4,119063.1,118722.0,118750.1,1832.311,217898462.3476,2025-07-29 06:00:00+00:00
118750.1,119300.0,118744.8,118889.8,2359.576,280767640.851,2025-07-29 07:00:00+00:00
118889.8,119083.9,118757.8,118934.7,1616.448,192259360.9677,2025-07-29 08:00:00+00:00
118934.7,119022.8,118760.0,118778.9,955.576,113592049.557,2025-07-29 09:00:00+00:00
118778.9,118833.0,118303.5,118329.5,2116.884,250959751.1499,2025-07-29 10:00:00+00:00
118329.5,118604.9,118117.9,118602.1,1984.622,234915124.8765,2025-07-29 11:00:00+00:00
118602.1,119127.5,118452.3,118900.0,3002.575,356907743.0216,2025-07-29 12:00:00+00:00
118900.0,119023.0,118522.0,118620.0,2585.709,307121146.1742,2025-07-29 13:00:00+00:00
118620.0,118640.0,117685.0,117813.0,5328.272,629241674.2207,2025-07-29 14:00:00+00:00
117813.0,117958.2,117240.0,117372.2,5979.39,702809351.0994,2025-07-29 15:00:00+00:00
117372.2,117730.0,116912.6,117727.2,6341.788,744286023.6002,2025-07-29 16:00:00+00:00
117727.2,118045.8,117611.0,117766.0,2464.707,290406210.3611,2025-07-29 17:00:00+00:00
117766.0,117824.2,117461.5,117609.2,1437.666,169132860.1602,2025-07-29 18:00:00+00:00
117609.2,118012.8,117387.0,117523.6,2066.998,243213094.8077,2025-07-29 19:00:00+00:00
117523.6,117891.2,117055.6,117498.8,5405.682,634216136.468,2025-07-29 20:00:00+00:00
117498.8,117688.0,117148.5,117589.3,1730.675,203115220.7894,2025-07-29 21:00:00+00:00
117589.3,117850.0,117424.8,117824.0,1181.22,138980028.5931,2025-07-29 22:00:00+00:00
117824.0,117982.7,117700.1,117923.3,893.341,105284466.232,2025-07-29 23:00:00+00:00
117923.3,117979.9,117506.1,117720.9,1322.767,155696989.2808,2025-07-30 00:00:00+00:00
117720.9,118008.6,117371.4,117832.0,1262.75,148618289.5093,2025-07-30 01:00:00+00:00
117832.0,118098.0,117757.7,117999.4,1148.601,135513903.8115,2025-07-30 02:00:00+00:00
117999.4,118234.0,117868.9,118130.0,1006.567,118843592.368,2025-07-30 03:00:00+00:00
118130.0,118254.4,117946.9,117980.7,1063.201,125542680.7456,2025-07-30 04:00:00+00:00
117980.7,118064.9,117643.1,117973.2,1364.215,160785119.0491,2025-07-30 05:00:00+00:00
117973.2,118310.0,117973.1,118259.0,1343.616,158792440.221,2025-07-30 06:00:00+00:00
118259.0,118389.2,118077.5,118103.2,1122.021,132680678.6125,2025-07-30 07:00:00+00:00
118103.2,118465.8,117912.3,118350.0,1958.957,231580823.9874,2025-07-30 08:00:00+00:00
118350.0,118404.6,117960.9,118122.0,1661.502,196282485.6209,2025-07-30 09:00:00+00:00
118122.0,118390.0,117808.3,117990.0,1755.457,207446579.8885,2025-07-30 10:00:00+00:00
117990.0,118150.0,117266.4,117542.3,3919.854,461343502.3624,2025-07-30 11:00:00+00:00
117542.3,117894.6,117310.9,117689.5,3496.045,411272348.0751,2025-07-30 12:00:00+00:00
117689.5,117852.0,117338.6,117640.2,3518.489,413714997.8465,2025-07-30 13:00:00+00:00
117640.2,118739.3,117580.7,118683.3,4396.319,519618935.5117,2025-07-30 14:00:00+00:00
118683.3,118769.0,117810.0,117991.7,3059.935,361828940.8327,2025-07-30 15:00:00+00:00
